NOM,TYPE VARIABLES,TYPE DE DONNEES,ADRESSE,COMMENTAIRES
Vérine_Verte,Table de variables standard,Bool,%Q0.7,Vérine verte
Bouton Marche,Table de variables standard,Bool,%M30.0,Bouton Marche
Bouton Arrêt,Table de variables standard,Bool,%M30.1,Bouton Arrêt 
Demande remplissage barquette,Table de variables standard,Bool,%M27.4,Demande remplissage barquette
Consigne vitesse convoyeur,Table de variables standard,Real,%MD200,Saisie de la consigne de vitesse du convoyeur pots personnalisés
Type de produits,Table de variables standard,Int,%MW106,Type de produits : petits pots ou grands pots
Alarmes opérateur,Table de variables standard,Int,%MW40,Alarmes opérateur pour pupitre
Défauts,Table de variables standard,Int,%MW42,Défauts critiques pour pupitre
Défaut défaut Air,Table de variables standard,Bool,%M43.1,"Bit de déclenchement du défaut critique ""Défaut Air"""
Défaut controleur d'axe,Table de variables standard,Bool,%M43.2,"Bit de déclenchement du défaut critique ""Défaut moteur convoyeur produits"""
Défaut critique moteur convoyeur,Table de variables standard,Bool,%M43.3,"Bit de déclenchement du défaut critique ""Défaut moteur convoyeur contenants"""
Défaut critique Arrêt d'Urgence,Table de variables standard,Bool,%M43.0,"Bit de déclenchement du défaut critique ""Arrêt d'urgence"""
Compteur pots,Table de variables standard,Int,%MW322,
Consigne vitesse portique,Table de variables standard,Int,%MW326,
Accumulation_Aval,Table de variables standard,Bool,%M321.6,
Alarme_Accumulation_Aval,Table de variables standard,Bool,%M43.4,
Nombre_d'arret,Table de variables standard,Int,%MW162,
Duree_Arret_En_Cours,Table de variables standard,Int,%MW164,
Duree_Arrets_Cumules,Table de variables standard,Int,%MW166,
