NOM,TYPE VARIABLES,TYPE DE DONNEES,ADRESSE,COMMENTAIRES
Syst_Rearme_KA1,Table de variables standard,Bool,%I0.0,Arrêt d'Urgence
AxeX_Fdc_Arriere_B1,Table de variables standard,Bool,%I0.1,Axe X fin de course Arriere
AxeX_Fdc_Avant_B2,Table de variables standard,Bool,%I0.2,Axe X fin de course Arriere
AxeX_Ref_B3,Table de variables standard,Bool,%I0.3,Axe X référencement
AxeZ_Fdc_Bas_B4,Table de variables standard,Bool,%I0.4,Axe Z fin de course Bas
AxeZ_Fdc_Haut_B5,Table de variables standard,Bool,%I0.5,Axe Z fin de course Haut
AxeZ_Ref,Table de variables standard,Bool,%I0.6,Axe Z référencement
AxeX_OK,Table de variables standard,Bool,%I0.7,Axe X Abesence de défaut
AxeZ_OK,Table de variables standard,Bool,%I1.0,Axe Z Abesence de défaut
Demande_Acces,Table de variables standard,Bool,%I1.1,deamnde d'ouverture des portes
Verin_Sas_Rentree,Table de variables standard,Bool,%I1.2,Vérin sas de sortie rentrée
Défaut_var_convoyeur,Table de variables standard,Bool,%I1.3,Défaut variateur convoyeur
Pots_Sas_Sortie,Table de variables standard,Bool,%I1.4,Présence dans le sas de sortie
Pots_Sortie_Sas,Table de variables standard,Bool,%I1.5,Pots en sortie du sas
Portes_Ouvertes,Table de variables standard,Bool,%I2.0,Porte ouverte
Reserve,Table de variables standard,Bool,%I2.1,Défaut Inibition en entrée
Defaut_Inhib_Sortie_,Table de variables standard,Bool,%I2.2,Défaut Inibition en sortie
Reserve(1),Table de variables standard,Bool,%I2.3,
Reserve(2),Table de variables standard,Bool,%I2.4,
Reserve(3),Table de variables standard,Bool,%I2.5,
Reserve(4),Table de variables standard,Bool,%I2.6,
Reserve(5),Table de variables standard,Bool,%I2.7,
Position_Y_Brut,Table de variables standard,Int,%IW68,
Mesure_distance_Pot,Table de variables standard,Int,%IW71,
Pression_Air,Table de variables standard,Int,%IW84,
Tag_2,Table de variables standard,Word,%IW48,
Tag_5,Table de variables standard,DWord,%ID76,
Tag_7,Table de variables standard,Int,%IW78,
Accu_Aval_B17,Table de variables standard,Bool,%I82.0,
AxeX_Puls_U3,Table de variables standard,Bool,%Q0.0,Axe X impulsions
AxeX_Dir_U3,Table de variables standard,Bool,%Q0.1,Axe X sens de marche
AxeZ_Puls_U4,Table de variables standard,Bool,%Q0.2,Axe Z impulsions
AxeX_Enable_U3,Table de variables standard,Bool,%Q0.4,Activation carte d'axe X
AxeZ_Dir_U4,Table de variables standard,Bool,%Q0.3,Axe Z sens de marche
AxeZ_Enable_U4,Table de variables standard,Bool,%Q0.5,Activation carte d'axe Z
Marche_Conv_U2,Table de variables standard,Bool,%Q0.6,Marche convoyeur à bande
Vérine_Verte,Table de variables standard,Bool,%Q0.7,Vérine verte
Absence_défaut_Axes,Table de variables standard,Bool,%Q1.0,Pas de défaut sur cartes d'axes autorisation réarmement
Autorisation_ouverture,Table de variables standard,Bool,%Q1.1,Autorisation ouverture aprés arrêt du système
Sortir_Verin_Sas_Sortie,Table de variables standard,Bool,%Q2.0,Sortir vérin sas de sortie
Ouverture_Pinces,Table de variables standard,Bool,%Q2.1,Ouverture pinces de préhension
Fermeture_Pinces,Table de variables standard,Bool,%Q2.2,Fermeture pinces de préhension
Sortir_AxeY,Table de variables standard,Bool,%Q2.3,Sortir axe Y
Rentrer_AxeY,Table de variables standard,Bool,%Q2.4,Rentrer axe Y
Déblocage_Frein_AxeZ,Table de variables standard,Bool,%Q2.5,Déblocage du frein de l'axe Z
Réserve,Table de variables standard,Bool,%Q2.6,Réserve
Réserve(1),Table de variables standard,Bool,%Q2.7,Réserve
Consigne variateur convoyeur,Table de variables standard,Int,%QW4,Consigne de vitesse variateur convoyeur pots personnalisés
